review_id,prof_ID,rating,review
169,169,1.0,you absolutely have to read every night because she has pop quizzes so randomly. sometimes once or twice a week and they are very technical questions that aren't multiple choice. and she doesn't drop it at the end when she drops your lowest quiz grade. we also has a paper that she changed to being worth 20 percent of our grade after turning it in.
170,169,1.0,"by far the most condescending, mean, disrespectful, and downright rude professor ever. of all the classes i have taken in my college career, this was the absolute worst. very unclear instructions not to mention ridiculous amounts of outdated readings required. do yourself a favor and do not take any classes by her. you will regret it."
171,169,5.0,"loved her. she is a bit crazy but in a good way. she genuinely wants her students to have a good grasp on the material. if she is teaching any other upper level pr classes while i'm at ut, i will definitely sign up for them! attendance isn't mandatory, but encouraged she gives in classes quizzes pretty often and they're worth a lot of your grade."
172,169,2.0,she really contradicts herself. you have to read the book before she teaches you or else you will get confused. she rambles about her study abroad trip a good 20 percent of most classes.
173,169,5.0,"doctor white is by far the best teacher i've had at ut. if you come to class and pay attention, she will be incredibly helpful, especially in office hours. she gives pop quizzes but also gives at least 3 opportunities to replace a bad quiz grade if you come to class. overall, she's helpful, to the point, and knows her stuff. take this class for sure"
174,169,4.0,"good instructor. don't skip class she gives frequent pop quizes. read the text, ask questions, and take good notes. tests are multiple choice."
175,169,4.0,"she is a very good teacher. she loves the subject. she has a quiz every week but it's like one question and writing your name's already 50 percent of the quiz! it's boosts up my grade for sure. the exams are pretty easy but i still fail them, lol. still gives you credit for speaking up in class and she likes it if you sit in the first 5 rows."
176,169,5.0,doctor white is a fantastic instructor. she is very passionate about pr and gets the class involved so that you aren't falling asleep. she offers daily quizzes to check attendance and to help boost your grade! she is absolutely wonderful and someone i admire greatly.
177,169,4.0,doctor white is scary and can be rude. she knows what she is talking about but intimidated me to death! wants people to join in the discussion and will call you out in front of the class if you made a mistake. i did learn a lot but would have rather had a different professor. if you have to take her you will be fine. i got a b for the course.
178,169,5.0,"doctor white is an incredible professor. two years into my pr career, i still quote things she said in my class. she's tough but fair. despite it's appearance, pr is very difficult field. her class is a good test on whether you'll succeed. sit in the front, join prssa and do all the readings. if you don't enjoy this class, don't major in pr!"
179,169,1.0,she is horrible... talks to students like the are in fifth grade. take doctor shaw
180,169,4.5,"be vocal and participate. if she can tell you're daydreaming you're screwed. very intelligent woman and knows her stuff. she remembers just about all of her students which i think is a good sign. i really liked her, one of my fave profs. she was my advisor too and helped me a lot."
181,169,4.0,i liked her and she still remembers me. i would suggest sitting in the front row or at least be vocal during discussions. that's the best way to get a long with her.
182,169,4.0,"she does favor those who are vocal in class and demonstrate comprehension of the material, so sit near the front and speak out. i got a b in the class and cracked the book maybe twice. just look out for the squeeks."
183,169,2.0,"the worst teacher i ever had. so negative about everything, not understanding, and just plain unfair to people she doesn't favor. highly reccomend taking this course from doctor shaw"
184,993,3.0,"the most time consuming class i've ever taken. she is a tough grader but very detailed in her feedback. online class had 7 total papers and endless online discussions. i asked her a question about one of the papers and she was very rude about it. i'll admit i didn't read the entire assignment but still, she could've been nicer about it."
185,993,5.0,"this class will kick your butt! with that being said, you will become a better student because of it. instructor is very very knowledgeable and has fantastic real life stories to share. this class requires a lot out of you, tests are far from easy and the countless papers and online classroom discussions will require a lot of time and committmen"
186,993,4.0,"i liked her, her instructions were detailed and it was easy to do an assignment then look at the list and check them off. she wrote up her own material which was easily printed off from canvas and her video lectures could be listened to on mobile app. topics changed every 2 weeks but i promise, you will learn so much. do all extra credit."
187,993,4.0,"if you have a lot of classes, and or work, i do not recommend this class. she is a great teacher, opinionated but thoughtful. papers due every two weeks, one semester paper, and participation in online threads mandatory min of two posts, then at least two more as more people joined. study for the quizzes tests."
188,993,5.0,"this class is definitely a challenge but one that i enjoyed. she does assign alot of work but gives plenty of time to turn them in. some say that she's opinionated but i'd like to think of her as a free thinker that's aware of the problem with society. she wants students to think, and i can appreciate that. study study. i pulled off an 87"
189,993,5.0,good teacher.
190,993,4.5,writing notes important to pass she takes notebooks for a grade. will not let you use laptop in class txtbk only available online mcgraw hill complete learnsmart sections on mcgraw hill almost every week for homework online quiz every week 15 min. for 20 questions nice and helpful. some classmates are offended when she has to cover religion puritans.
191,993,2.0,extremely opinionated and grades papers based off the opinions stated. ie if you disagree with what she says in lecture your grade will be poor. worst professor i've ever had.
192,993,4.5,"take notes for a grade read assigned chapters and homework test are over lecture and readings extra credit and does not let you fail amazing at help a semester research paper, 5 pages. but if you ask her for help, visit, her office, and see's you're working hard it's an easy 'a ' bc she helps you out so much. you will learn if you're dedicated."
193,993,4.0,"professor ledbetter may seem a little all over the place, okay she really is all over the place. read the textbook there's a test every couple of weeks, a lecture and reading. she's there for help all you have to do is ask!! she has plenty of material to help you with your topics for her research paper, i really enjoyed her class."
194,993,1.0,7 papers for a short summer term!!! please do yourself a favor and don't take her class. tough grader. endless homework.
195,993,5.0,amazing! profanity i learned so much from professor ledbetter and the course is very eye opening! loved and would definitely take again
